alpha	beta	x	y
-121996.0797364923	-227388.94090014952	9.99999999999999e-16	-121996.07973649241
-206351.2411919761	-142954.21360235615	0.9999999999999991	-142954.2136023562
-206351.2411919761	-142954.21360235615	0.9999999999999991	-142954.2136023562
-205988.34364919225	-142990.15329727114	0.9994997498749365	-143021.66814987347
-205615.90507753362	-143013.9608047481	0.998999499749874	-143076.59406565138
-205241.70285405175	-143033.42907184857	0.9984992496248114	-143126.78816206704
-204867.37494390388	-143050.21156153447	0.9979989994997489	-143173.9077363867
-204493.68922198945	-143065.09157460707	0.9974987493746864	-143218.7398928847
-204121.09015453968	-143078.52893150435	0.9969984992496238	-143261.74822482018
-203749.86504256172	-143090.8262159539	0.9964982491245613	-143303.23905826823
-203380.21268017904	-143102.19743363783	0.9959979989994988	-143343.4301109627
-203012.2770317707	-143112.80168942147	0.9954977488744362	-143382.48416970225
-202646.16572983697	-143122.76168564355	0.9949974987493737	-143420.52758881616
-202281.96109288512	-143132.17474007807	0.9944972486243112	-143457.6613083027
-201919.7271014261	-143141.11976225761	0.9939969984992487	-143493.9678303267
-201559.5140319674	-143149.6618876389	0.9934967483741861	-143529.51585356006
-201201.36165640416	-143157.8556772957	0.9929964982491236	-143564.3634730474
-200845.30152264633	-143165.7473987297	0.9924962481240611	-143598.56046119035
-200491.3586243021	-143173.37669577374	0.9919959979989985	-143632.14993782304
-200139.55265117667	-143180.77783939918	0.991495747873936	-143665.16962119023
-199789.89894461544	-143187.98068319968	0.9909954977488735	-143697.65278360268
-199442.4092396922	-143195.01140588717	0.9904952476238109	-143729.62899410247
-199097.09225076923	-143201.89309702953	0.9899949974987484	-143761.12470437065
-198753.9541395273	-143208.64622533374	0.9894947473736859	-143792.16371717874
-198412.9988935949	-143215.28901751302	0.9889944972486233	-143822.7675654239
-198074.2286361483	-143221.83776810748	0.9884942471235608	-143852.95582211702
-197737.6438815163	-143228.3070953008	0.9879939969984983	-143882.74635636597
-197403.24374800752	-143234.7101540061	0.9874937468734357	-143912.1555466275
-197071.02613660932	-143241.05881478262	0.9869934967483732	-143941.19845978892
-196740.98788211815	-143247.36381516396	0.9864932466233107	-143969.88900266163
-196413.1248816895	-143253.63488851787	0.9859929964982481	-143998.24005100358
-196087.43220513745	-143259.88087445093	0.9854927463731856	-144026.26356008876
-195763.9041897351	-143266.10981394927	0.9849924962481231	-144053.97066000913
-195442.53452247253	-143272.3290317984	0.9844922461230605	-144081.37173825715
-195123.3163115646	-143278.54520833943	0.983991995997998	-144108.47651164274
-194806.24214901018	-143284.7644422271	0.9834917458729355	-144135.29408921258
-194491.30416546256	-143290.99230555707	0.9829914957478729	-144161.83302753652
-194178.49407862796	-143297.23389248396	0.9824912456228104	-144188.10137948502
-193867.8032361383	-143303.49386226028	0.9819909954977479	-144214.1067374277
-193559.2226534338	-143309.77647747652	0.9814907453726854	-144239.85627162884
-193252.74304778362	-143316.08563814327	0.9809904952476228	-144265.35676448967
-192948.35486844223	-143322.4249121714	0.9804902451225603	-144290.61464118323
-192646.04832379686	-143328.79756270727	0.9799899949974978	-144315.63599714634
-192345.813405728	-143335.20657271828	0.9794897448724352	-144340.4266228201
-192047.6399115538	-143341.6546671642	0.9789894947473727	-144364.99202597584
-191751.5174638521	-143348.14433304156	0.9784892446223102	-144389.33745191348
-191457.4355284321	-143354.67783754866	0.9779889944972476	-144413.46790178027
-191165.3834305675	-143361.25724458657	0.9774887443721851	-144437.3881492235
-190875.3503698755	-143367.88442977666	0.9769884942471226	-144461.10275556188
-190587.3254336881	-143374.56109416415	0.97648824412206	-144484.61608363775
-190301.29760947268	-143381.28877673688	0.9759879939969975	-144507.93231048947
-190017.25579598206	-143388.06886589376	0.975487743871935	-144531.0554389675
-189735.1888136604	-143394.9026099602	0.9749874937468724	-144553.98930840197
-189455.08541395987	-143401.79112685646	0.9744872436218099	-144576.7376044164
-189176.9342881592	-143408.7354129896	0.9739869934967474	-144599.30386797155
-188900.7240752241	-143415.73635145754	0.9734867433716851	-144621.69150371352
-188626.44336927767	-143422.79471961613	0.9729864932466223	-144643.90378769106
-188354.08072628366	-143429.9111960821	0.9724862431215598	-144665.94387450189
-188083.62467039796	-143437.08636721075	0.9719859929964975	-144687.8148039184
-187815.0636996814	-143444.32073310576	0.9714857428714347	-144709.51950704018
-187548.3862915439	-143451.6147131936	0.9709854927463722	-144731.0608120152
-187283.58090769095	-143458.9686514057	0.9704852426213098	-144752.44144936514
-187020.63599864786	-143466.38282100367	0.9699849924962471	-144773.664056951
-186759.54000819317	-143473.85742906533	0.9694847423711846	-144794.73118460656
-186500.2813771855	-143481.39262067765	0.9689844922461222	-144815.64529846833
-186242.84854739983	-143488.98848284117	0.9684842421210595	-144836.4087850259
-185987.22996482486	-143496.64504812786	0.967983991995997	-144857.0239549156
-185733.41408301558	-143504.36229809196	0.9674837418709346	-144877.49304647621
-185481.38936596253	-143512.14016647192	0.9669834917458722	-144897.81822908644
-185231.14429096904	-143519.97854218323	0.9664832416208095	-144918.00160629966
-184982.66735117958	-143527.877272131	0.965982991495747	-144938.04521879202
-184735.94705802354	-143535.83616384555	0.9654827413706846	-144957.95104713636
-184490.97194358514	-143543.85498795562	0.9649824912456219	-144977.72101441593
-184247.7305625544	-143551.93348052213	0.9644822411205594	-144997.3569886884
-184006.21149435232	-143560.07134522233	0.963981990995497	-145016.8607853111
-183766.4033449056	-143568.26825541366	0.9634817408704343	-145036.23416913702
-183528.2947484168	-143576.5238560737	0.9629814907453718	-145055.4788565907
-183291.8743689825	-143584.83776562967	0.9624812406203094	-145074.59651763143
-183057.1309021075	-143593.20957768415	0.9619809904952467	-145093.58877761223
-182824.05307613732	-143601.63886264284	0.9614807403701842	-145112.4572190406
-182592.6296536051	-143610.1251692512	0.9609804902451218	-145131.20338324804
-182362.84943242415	-143618.6680260488	0.9604802401200591	-145149.82877197364
-182134.70124714315	-143627.26694273864	0.9599799899949966	-145168.33484886793
-181908.17396995617	-143635.92141148853	0.9594797398699342	-145186.7230409212
-181683.25651180802	-143644.63090815546	0.9589794897448717	-145204.9947398211
-181459.93782328433	-143653.39489345154	0.958479239619809	-145223.15130324452
