alpha	beta	x	y
-19319.926291261316	-54502.86867020064	9.99999999999999e-16	-19319.926291261352
-47317.344064218756	-29302.336743213018	0.9999999999999991	-29302.336743213033
-47317.344064218756	-29302.336743213018	0.9999999999999991	-29302.336743213033
-47182.40445480436	-29315.772976918197	0.9994997498749365	-29324.71076154947
-47043.90168731433	-29324.673228414445	0.998999499749874	-29342.401320919613
-46904.74332388921	-29331.950879052696	0.9984992496248114	-29358.323253907394
-46765.54171376434	-29338.224070268374	0.9979989994997489	-29373.096141591042
-46626.5839237902	-29343.785634251086	0.9974987493746864	-29387.014244279962
-46488.0361148016	-29348.807470380925	0.9969984992496238	-29400.25087801802
-46350.00569155188	-29353.4026952497	0.9964982491245613	-29412.920564671487
-46212.56697058196	-29357.651310633304	0.9959979989994988	-29425.104699967782
-46075.77377035913	-29361.612793689612	0.9954977488744362	-29436.864143759678
-45939.66632670407	-29365.333012525505	0.9949974987493737	-29448.24613565798
-45804.27541182295	-29368.848345250834	0.9944972486243112	-29459.288414151444
-45669.624942246766	-29372.188288069807	0.9939969984992487	-29470.02182476323
-45535.733711288245	-29375.37718775915	0.9934967483741861	-29480.472052594523
-45402.61658509148	-29378.435437870005	0.9929964982491236	-29490.66081859093
-45270.285355251326	-29381.380331407065	0.9924962481240611	-29500.60673228635
-45138.7493630419	-29384.226685119866	0.9919959979989985	-29510.325916158778
-45008.01596690024	-29386.98730711607	0.991495747873936	-29519.832473307346
-44878.09089957742	-29389.673354068134	0.9909954977488735	-29529.13884472306
-44748.978545605605	-29392.294608794793	0.9904952476238109	-29538.25608693358
-44620.68216022565	-29394.859699238226	0.9899949974987484	-29547.194091044017
-44493.20404433692	-29397.37627353159	0.9894947473736859	-29555.96175786723
-44366.545686064055	-29399.851141637955	0.9889944972486233	-29564.56713962565
-44240.70787647786	-29402.29039117672	0.9884942471235608	-29573.01755584003
-44115.69080520173	-29404.699483059838	0.9879939969984983	-29581.31968902854
-43991.49413990932	-29407.083331154652	0.9874937468734357	-29589.47966443074
-43868.11709318609	-29409.446369170997	0.9869934967483732	-29597.5031169571
-43745.5584790004	-29411.792607235606	0.9864932466233107	-29605.395247824737
-43623.816760787384	-29414.12568006583	0.9859929964982481	-29613.16087279231
-43502.89009265178	-29416.448888244708	0.9854927463731856	-29620.80446349625
-43382.77635482233	-29418.765233789225	0.9849924962481231	-29628.33018307938
-43263.473184426235	-29421.077450962548	0.9844922461230605	-29635.7419170643
-43144.978002184784	-29423.388033100484	0.983991995997998	-29643.043300239417
-43027.28803582382	-29425.699256073316	0.9834917458729355	-29650.237740181266
-42910.40034058687	-29428.013198895063	0.9829914957478729	-29657.328437923352
-42794.31181732364	-29430.33176189938	0.9824912456228104	-29664.31840619146
-42679.019228515506	-29432.65668282973	0.9819909954977479	-29671.21048555345
