alpha	beta	x	y
-53464.701335732556	-131833.78412699932	9.99999999999999e-16	-53464.701335732636
-112853.95349482066	-69729.67865569098	0.9999999999999991	-69729.67865569102
-112853.95349482066	-69729.67865569098	0.9999999999999991	-69729.67865569102
-112617.19139084502	-69752.9116260506	0.9994997498749365	-69774.3544873637
-112374.25876986215	-69768.30332391466	0.998999499749874	-69810.9305929952
-112130.18300439225	-69780.8911835355	0.9984992496248114	-69844.44689912462
-111886.02289675352	-69791.74402236578	0.9979989994997489	-69875.97469545114
-111642.27481526157	-69801.36817733951	0.9974987493746864	-69906.02277123129
-111399.22607394165	-69810.06088481861	0.9969984992496238	-69934.89079534129
-111157.06239380984	-69818.01774195969	0.9964982491245613	-69962.7767777591
-110915.91228424793	-69825.3770882819	0.9959979989994988	-69989.82145124728
-110675.86881214204	-69832.24177492558	0.9954977488744362	-70016.130040726
-110437.00155913463	-69838.69112211028	0.9949974987493737	-70041.78422084481
-110199.36374366116	-69844.78804124304	0.9944972486243112	-70066.84923820486
-109962.99673024443	-69850.5835444753	0.9939969984992487	-70091.37842102823
-109727.93302503886	-69856.11974026872	0.9934967483741861	-70115.41617483705
-109494.19834388785	-69861.43190170467	0.9929964982491236	-70139.00005087457
-109261.81308653289	-69866.54994082113	0.9924962481240611	-70162.16222055387
-109030.79341595367	-69871.49948805248	0.9919959979989985	-70184.9305550092
-108801.15206666573	-69876.30270076264	0.991495747873936	-70207.32943373935
-108572.89896229876	-69880.97888087817	0.9909954977488735	-70229.38036235173
-108346.04169529866	-69885.54495484477	0.9904952476238109	-70251.10245262801
-108120.58590550424	-69890.01585225255	0.9899949974987484	-70272.5128012596
-107896.53558263843	-69894.40480853902	0.9894947473736859	-70293.62679265917
-107673.89331107236	-69898.72360989216	0.9889944972486233	-70314.45834397222
-107452.66046995761	-69902.9827935211	0.9884942471235608	-70335.02010545613
-107232.83739846315	-69907.19181301814	0.9879939969984983	-70355.32362594998
-107014.42353330724	-69911.35917610007	0.9874937468734357	-70375.37949072251
-106797.41752431914	-69915.49256026067	0.9869934967483732	-70395.19743723195
-106581.81733208713	-69919.5989105916	0.9864932466233107	-70414.78645305305
-106367.62031110626	-69923.68452307761	0.9859929964982481	-70434.15485927815
-106154.82328102303	-69927.75511596381	0.9854927463731856	-70453.31038199022
-105943.42258794923	-69931.81589125529	0.9849924962481231	-70472.26021386703
-105733.41415763134	-69935.87158799401	0.9844922461230605	-70491.01106756322
-105524.79354165611	-69939.92652864287	0.983991995997998	-70509.5692221979
-105317.55595790851	-69943.98465965292	0.9834917458729355	-70527.94056402636
-105111.69632601907	-69948.04958709846	0.9829914957478729	-70546.13062217769
-104907.20929869301	-69952.12460810354	0.9824912456228104	-70564.14460018493
-104704.08928935444	-69956.21273866392	0.9819909954977479	-70581.987403909
-104502.33049670505	-69960.31673836465	0.9814907453726854	-70599.66366635797
-104301.92692667463	-69964.43913241156	0.9809904952476228	-70617.1777698213
-104102.87241191187	-69968.58223133443	0.9804902451225603	-70634.53386567289
-103905.16062936615	-69972.74814865582	0.9799899949974978	-70651.7358921418
-103708.78511600266	-69976.93881678417	0.9794897448724352	-70668.78759030494
-103513.73928298074	-69981.15600134565	0.9789894947473727	-70685.6925185186
-103320.01642852252	-69985.40131414004	0.9784892446223102	-70702.45406547496
-103127.60974944486	-69989.67622488455	0.9779889944972476	-70719.07546204349
-102936.51235176643	-69993.98207187765	0.9774887443721851	-70735.55979203526
-102746.71726016738	-69998.3200717104	0.9769884942471226	-70751.91000201009
-102558.21742681788	-70002.69132812007	0.97648824412206	-70768.12891023056
-102371.00573924613	-70007.09684008636	0.9759879939969975	-70784.21921485361
-102185.07502765846	-70011.53750924191	0.975487743871935	-70800.18350143924
-102000.41807157872	-70016.01414667197	0.9749874937468724	-70816.02424984625
-101817.02760595974	-70020.52747916167	0.9744872436218099	-70831.74384057576
-101634.89632678794	-70025.0781549466	0.9739869934967474	-70847.34456061735
-101454.01689625962	-70029.66674901322	0.9734867433716851	-70862.8286088452
-101274.38194753419	-70034.29376799271	0.9729864932466223	-70878.19810100687
-101095.98408909136	-70038.95965468649	0.9724862431215598	-70893.45507434248
-100918.81590882466	-70043.66479225396	0.9719859929964975	-70908.60149186777
-100742.86997777504	-70048.40950809617	0.9714857428714347	-70923.63924635117
-100568.13885356195	-70053.19407746165	0.9709854927463722	-70938.57016401186
-100394.6150836588	-70058.0187267943	0.9704852426213098	-70953.39600796241
