alpha	beta	x	y
-111361.87871857607	-219474.0675498598	0.26666666666666733	-140191.7957402518
-210586.6890432962	-143588.28177804936	0.8666666666666661	-152521.40274674897
-210586.6890432962	-143588.28177804936	0.8666666666666661	-152521.40274674897
-210247.6637166054	-143666.33052161845	0.8663665165916286	-152563.826006438
-209903.40803754964	-143736.4300503785	0.8660663665165911	-152598.41382881705
-209558.78164180805	-143803.45634930924	0.8657662164415536	-152630.04245243777
-209214.80450847384	-143868.44567201578	0.8654660663665159	-152659.74837490966
-208871.9524704601	-143931.89005023998	0.8651659162914785	-152688.02386264454
-208530.49911780452	-143994.07919640542	0.864865766216441	-152715.1588536177
-208190.61976707052	-144055.20447505984	0.8645656161414035	-152741.34492864853
-207852.43440119084	-144115.40184303184	0.864265466066366	-152766.71825162641
-207516.02873296477	-144174.7729114527	0.8639653159913284	-152791.3806318445
-207181.46577245236	-144233.39651511755	0.8636651659162909	-152815.41109320612
-206848.79271880776	-144291.33560311195	0.8633650158412534	-152838.87276512652
-206518.04532199263	-144348.64160211946	0.863064865766216	-152861.8172457346
-206189.25078161532	-144405.35731460532	0.8627647156911784	-152884.28750025638
-205862.4297468409	-144461.51892014203	0.8624645656161408	-152906.31986225667
-205537.59774542542	-144517.15740144846	0.8621644155411033	-152927.94546019976
-205214.76622268406	-144572.2995896315	0.8618642654660658	-152949.1912619378
-204893.94332981526	-144626.96894549156	0.8615641153910284	-152970.08085709164
-204575.13451574196	-144681.18615800992	0.8612639653159908	-152990.6350547305
-204258.34299547126	-144734.969608074	0.8609638152409532	-153010.8723478459
-203943.5701141866	-144788.33573516234	0.8606636651659157	-153030.8092797868
-203630.81563814206	-144841.29933053383	0.8603635150908783	-153050.46073723573
-203320.07799534194	-144893.87377357084	0.8600633650158407	-153069.84018726277
-203011.35446768734	-144946.0712258035	0.8597632149408032	-153088.95987119694
-202704.64134814608	-144997.90279135777	0.8594630648657656	-153107.83096472136
-202399.93407734955	-145049.37864967814	0.859162914790728	-153126.46371124417
-202097.2273531553	-145100.50816780204	0.8588627647156907	-153144.86753389894
-201796.51522632482	-145151.29999483077	0.858562614640653	-153163.05113029075
-201497.7911801893	-145201.76214266807	0.8582624645656155	-153181.02255318887
-201201.04819940205	-145251.90205511535	0.857962314490578	-153198.78927967823
-200906.27882891407	-145301.726667458	0.8576621644155407	-153216.3582707628
-200613.47522729434	-145351.24245771472	0.8573620143405031	-153233.7360230138
-200322.62920881802	-145400.45549197396	0.8570618642654655	-153250.9286135479
-200033.7322839914	-145449.3714634288	0.856761714190428	-153267.94173937736
