alpha	beta	x	y
-86410.14052494323	-149547.16177162784	0.0	-86410.14052494323
-86813.91317389542	-131989.4919806151	0.05	-89072.6921142314
-87502.54198086922	-123062.98035983928	0.1	-91058.58581876622
-88253.83392940288	-117820.79324940476	0.15	-92688.87782740316
-89085.2043262418	-113890.34257684469	0.2	-94046.23197636238
-90089.55391745076	-110397.43588311606	0.25	-95166.52440886709
-91307.3687424931	-107174.1441210956	0.3	-96067.40135607385
-92705.14780302747	-104285.234144977	0.35	-96758.1780227098
-94212.91933261233	-101790.66851840829	0.4	-97244.01900693071
-95778.313629786	-99666.38244548974	0.45	-97527.94459685269
-97407.00413428798	-97817.89134604264	0.5	-97612.44774016531
-99236.21513697195	-96198.1693073547	0.55	-97565.28993068247
-101317.33848241085	-94670.58261304887	0.6	-97329.28496079367
-103736.73335416288	-93210.69428069364	0.65	-96894.80795640788
-106524.67161572175	-91861.64392282939	0.7	-96260.5522306971
-109631.26304475506	-90686.67911066479	0.75	-95422.82509418736
-113002.09907820357	-89716.31869967016	0.8	-94373.47477537683
-116809.57669775333	-88910.85158820836	0.85	-93095.6603546401
-121917.21440625479	-88180.22470147135	0.9	-91553.9236719497
-130657.2312596094	-87506.3330068272	0.95	-89663.87791946632
-147898.2881923386	-87109.35264049344	1.0	-87109.35264049344
