alpha	beta	x	y
-110874.96621311651	-191912.16909717442	9.99999999999999e-16	-110874.9662131166
-190490.8737791594	-111832.93515261078	0.9999999999999991	-111832.93515261085
-190490.8737791594	-111832.93515261078	0.9999999999999991	-111832.93515261085
-190186.73785475292	-111863.54648174194	0.9994997498749365	-111902.72766802166
-189874.43587214436	-111883.82175111103	0.998999499749874	-111961.8513800466
-189560.5922838827	-111900.39863704475	0.9984992496248114	-112016.94720179746
-189246.60230117574	-111914.68551305534	0.9979989994997489	-112069.42671723376
-188933.12003620205	-111927.34959237585	0.9974987493746864	-112119.96032385122
-188620.52413781825	-111938.7825639297	0.9969984992496238	-112168.94286880388
-188309.05938940527	-111949.24219028557	0.9964982491245613	-112216.63524701093
-187998.89518859473	-111958.91078764344	0.9959979989994988	-112263.22288129415
-187690.15423166804	-111967.92391039904	0.9954977488744362	-112308.84440709317
-187382.92826917983	-111976.3861070538	0.9949974987493737	-112353.60742852524
-187077.28749042877	-111984.38030475905	0.9944972486243112	-112397.59790307947
-186773.28646524186	-111991.97375139591	0.9939969984992487	-112440.88608384528
-186470.9680909723	-111999.22196272439	0.9934967483741861	-112483.53046681012
-186170.3663176071	-112006.17144771958	0.9929964982491236	-112525.58051634318
-185871.50809026157	-112012.86165125213	0.9924962481240611	-112567.07860802315
-185574.41477131943	-112019.32637642726	0.9919959979989985	-112608.06145112381
-185279.10320560768	-112025.5948499592	0.991495747873936	-112648.56115413437
-184985.5865340498	-112031.69253600446	0.9909954977488735	-112688.6060387383
-184693.87482585176	-112037.64176858243	0.9904952476238109	-112728.22127237846
-184403.97557724136	-112043.46225047715	0.9899949974987484	-112767.42936730328
-184115.89411010552	-112049.17145209755	0.9894947473736859	-112806.25057957043
-183829.63389452006	-112054.78493417702	0.9889944972486233	-112844.70323188973
-183545.19681241742	-112060.31661166361	0.9884942471235608	-112882.80397765535
-183262.58337530884	-112065.77897161138	0.9879939969984983	-112920.5680189795
-182981.79290558427	-112071.18325467623	0.9874937468734357	-112958.00928832949
-182702.82368867303	-112076.53960750863	0.9869934967483732	-112995.14060106062
-182425.67310179485	-112081.85721164726	0.9864932466233107	-113031.97378445072
-182150.33772346762	-112087.14439327492	0.9859929964982481	-113068.51978759485
-181876.81342743838	-112092.40871725605	0.9854927463731856	-113104.78877558293
-181605.0954634006	-112097.65706817331	0.9849924962481231	-113140.79021067303
-181335.17852713226	-112102.89572052762	0.9844922461230605	-113176.53292263112
-181067.05682131025	-112108.13039985782	0.983991995997998	-113212.0251699862
-180800.72410890833	-112113.36633619318	0.9834917458729355	-113247.27469362176
-180536.17375977276	-112118.60831101063	0.9829914957478729	-113282.28876386608
-180273.3987920229	-112123.86069864241	0.9824912456228104	-113317.07422203834
-180012.39190845285	-112129.1275029364	0.9819909954977479	-113351.63751724291
-179753.14552884217	-112134.41238982635	0.9814907453726854	-113385.98473907282
-179495.6518189131	-112139.7187163616	0.9809904952476228	-113420.12164677535
-179239.9027160132	-112145.04955666915	0.9804902451225603	-113454.05369534576
-178985.88995229022	-112150.40772523498	0.9799899949974978	-113487.786058943
-178733.6050753527	-112155.79579784675	0.9794897448724352	-113521.32365196274
-178483.03946705125	-112161.21613047653	0.9789894947473727	-113554.67114805346
-178234.18436030217	-112166.67087635494	0.9784892446223102	-113587.83299732035
-177987.03085441064	-112172.16200144267	0.9779889944972476	-113620.81344192827
-177741.5699289207	-112177.69129848495	0.9774887443721851	-113653.61653028571
-177497.7924562402	-112183.26039980391	0.9769884942471226	-113686.24612996708
-177255.68921309942	-112188.87078896876	0.97648824412206	-113718.70593951117
-177015.25089103755	-112194.52381146121	0.9759879939969975	-113750.99949921499
-176776.46810599294	-112200.22068444136	0.975487743871935	-113783.13020102773
-176539.33140710212	-112205.96250570583	0.9749874937468724	-113815.10129763676
-176303.83128468686	-112211.75026192164	0.9744872436218099	-113846.91591082666
-176069.95817769947	-112217.58483620164	0.9739869934967474	-113878.57703918213
-175837.7024804763	-112223.46701509069	0.9734867433716851	-113910.08756519851
-175607.05454908713	-112229.39749501165	0.9729864932466223	-113941.45026185518
-175378.00470702862	-112235.37688822986	0.9724862431215598	-113972.66779870212
-175150.54325058238	-112241.40572837215	0.9719859929964975	-114003.74274750365
-174924.66045379086	-112247.48447554262	0.9714857428714347	-114034.67758747873
-174700.34657298052	-112253.61352107384	0.9709854927463722	-114065.47471017374
-174477.591851026	-112259.7931919398	0.9704852426213098	-114096.13642399892
-174256.38652123208	-112266.02375486423	0.9699849924962471	-114126.66495845713
-174036.72081105472	-112272.30542014402	0.9694847423711846	-114157.06246809084
-173818.5849453988	-112278.63834521893	0.9689844922461222	-114187.33103617004
-173601.96914985165	-112285.02263799876	0.9684842421210595	-114217.47267814225
-173386.86365355013	-112291.45835997663	0.967983991995997	-114247.48934486348
-173173.25869198318	-112297.94552913625	0.9674837418709346	-114277.38292562708
-172961.1445094187	-112304.48412267964	0.9669834917458722	-114307.15525100625
-172750.5113614297	-112311.0740795741	0.9664832416208095	-114336.80809552429
-172541.34951699167	-112317.71530294925	0.965982991495747	-114366.34318016535
-172333.64926059262	-112324.40766234134	0.9654827413706846	-114395.76217473726
-172127.40089420768	-112331.15099580148	0.9649824912456219	-114425.0667000979
-171922.59473902435	-112337.94511188086	0.9644822411205594	-114454.2583302537
-171719.22113717874	-112344.78979149408	0.963981990995497	-114483.3385943402
-171517.27045333706	-112351.68478967453	0.9634817408704343	-114512.30897849269
-171316.7330761843	-112358.62983722742	0.9629814907453718	-114541.17092761408
-171117.59941975682	-112365.62464228975	0.9624812406203094	-114569.9258470472
-170919.85992481644	-112372.66889179724	0.9619809904952467	-114598.5751041582
-170723.50505996647	-112379.76225287467	0.9614807403701842	-114627.12002983624
-170528.5253228888	-112386.90437414132	0.9609804902451218	-114655.5619199154
-170334.9112413365	-112394.09488695068	0.9604802401200591	-114683.90203652377
-170142.65337415453	-112401.3334065588	0.9599799899949966	-114712.14160936409
-169951.74231221963	-112408.61953322933	0.9594797398699342	-114740.28183693033
-169762.16867931516	-112415.9528532796	0.9589794897448717	-114768.32388766429
-169573.92313293068	-112423.33294007152	0.958479239619809	-114796.26890105572
-169386.99636504668	-112430.7593549484	0.9579789894947465	-114824.11798868945
-169201.37910284183	-112438.23164812337	0.9574787393696841	-114851.87223524251
-169017.0621093647	-112445.74935952124	0.9569784892446214	-114879.53269943452
-168834.03618419825	-112453.31201957497	0.9564782391195589	-114907.10041493381
-168652.2921639934	-112460.91914998468	0.9559779889944965	-114934.57639122172
-168471.82092302374	-112468.5702644356	0.9554777388694338	-114961.96161441783
-168292.61337375228	-112476.2648692772	0.9549774887443713	-114989.25704806803
-168114.66046724527	-112484.00246417268	0.9544772386193089	-115016.46363389738
-167937.95319367	-112491.78254271112	0.9539769884942462	-115043.58229253019
-167762.48258267017	-112499.60459299295	0.9534767383691837	-115070.61392417859
-167588.23970379398	-112507.46809818198	0.9529764882441213	-115097.55940930135
-167415.2156667988	-112515.37253703517	0.9524762381190588	-115124.41960923509
-167243.4016220365	-112523.31738440068	0.9519759879939961	-115151.19536679845
-167072.78876075713	-112531.3021116942	0.9514757378689337	-115177.88750687138
-166903.36831538667	-112539.32618735183	0.9509754877438712	-115204.49683695038
-166735.13155976008	-112547.38907726228	0.9504752376188085	-115231.02414768118
-166568.0698094238	-112555.49024517315	0.949974987493746	-115257.47021336983
-166402.17442183357	-112563.62915308167	0.9494747373686835	-115283.83579247339
-166237.43679655998	-112571.80526160511	0.948974487243621	-115310.1216280711
-166073.84837544535	-112580.01803033496	0.9484742371185584	-115336.32844831719
-165911.40064287052	-112588.26691816708	0.9479739869934959	-115362.45696687605
-165750.08512580913	-112596.55138362615	0.9474737368684334	-115388.50788334066
-165589.89339401096	-112604.87088516695	0.9469734867433709	-115414.48188363496
-165430.81706014878	-112613.22488146204	0.9464732366183083	-115440.3796404013
-165272.8477798884	-112621.61283167904	0.9459729864932458	-115466.20181337323
-165115.97725202562	-112630.0341957398	0.9454727363681833	-115491.94904973442
-164960.19721855546	-112638.48843457036	0.9449724862431207	-115517.62198446454
-164805.49946475332	-112646.97501033731	0.9444722361180583	-115543.2212406726
-164651.87581924538	-112655.49338667227	0.9439719859929956	-115568.74742991803
-164499.3181540325	-112664.0430288881	0.9434717358679332	-115594.20115252062
-164347.81838459458	-112672.6234041786	0.9429714857428707	-115619.58299785918
-164197.36846988864	-112681.23398181419	0.942471235617808	-115644.89354465994
-164047.96041232138	-112689.87423332933	0.9419709854927456	-115670.13336127489
-163899.58625790238	-112698.54363268866	0.9414707353676831	-115695.30300595032
-163752.23809609757	-112707.24165646266	0.9409704852426204	-115720.40302708648
-163605.90805993398	-112715.96778397911	0.940470235117558	-115745.43396348822
-163460.5883259897	-112724.72149747265	0.9399699849924955	-115770.39634460727
-163316.27111427957	-112733.50228223338	0.939469734867433	-115795.29069077648
