alpha	beta	x	y
-115035.41618956684	-191416.72624944267	9.99999999999999e-16	-115035.41618956691
-192585.15377768246	-113666.50761134991	0.9999999999999991	-113666.50761134998
-192585.15377768246	-113666.50761134991	0.9999999999999991	-113666.50761134998
-192281.69607887426	-113697.46568357287	0.9994997498749365	-113736.77745465614
-191969.9713726535	-113717.96828573833	0.998999499749874	-113796.25943439965
-191656.67933625611	-113734.72844740115	0.9984992496248114	-113851.66984443302
-191343.23104642855	-113749.17053560943	0.9979989994997489	-113904.4362895081
-191030.28806826897	-113761.96934392271	0.9974987493746864	-113955.23677444892
-190718.2333765255	-113773.52101397945	0.9969984992496238	-114004.47062587312
-190407.31456075603	-113784.0862407802	0.9964982491245613	-114052.40169762862
-190097.70296890847	-113793.84941650086	0.9959979989994988	-114099.21751475969
-189789.52271723934	-113802.94764066613	0.9954977488744362	-114145.05828383236
-189482.86662492476	-113811.4866549103	0.9949974987493737	-114190.03282784692
-189177.80570496345	-113819.55033404932	0.9944972486243112	-114234.22807746111
-188874.39517339927	-113827.20669561136	0.9939969984992487	-114277.71508067068
-188572.6784411741	-113834.51189179193	0.9934967483741861	-114320.55299491456
-188272.68987018763	-113841.51296572614	0.9929964982491236	-114362.79184349632
-187974.45673773251	-113848.24981622219	0.9924962481240611	-114404.47448046571
-187678.00067490968	-113854.7566362454	0.9919959979989985	-114445.63802925129
-187383.33874382736	-113861.06299038678	0.991495747873936	-114486.31496027604
-187090.48426048277	-113867.1946379347	0.9909954977488735	-114526.53391417583
-186799.44743416633	-113873.17417247426	0.9904952476238109	-114566.32034154494
-186510.235871809	-113879.0215264531	0.9899949974987484	-114605.69700764732
-186222.8549812124	-113884.7543745688	0.9894947473736859	-114644.68439594931
-185937.308297184	-113890.38846013234	0.9889944972486233	-114683.30103462722
-185653.59774822684	-113895.93786195383	0.9884942471235608	-114721.56376359686
-185371.7238767338	-113901.41521470746	0.9879939969984983	-114759.487955022
-185091.68602233025	-113906.83189248799	0.9874937468734357	-114797.08769701335
-184813.48247575515	-113912.19816293368	0.9869934967483732	-114834.37594789291
-184537.1106091245	-113917.52331758273	0.9864932466233107	-114871.36466669316
-184262.56698665372	-113922.81578287562	0.9859929964982481	-114908.0649242993
-183989.84745959734	-113928.08321526114	0.9854927463731856	-114944.48699869581
-183718.94724799984	-113933.33258315161	0.9849924962481231	-114980.64045706135
-183449.86101152436	-113938.57023792132	0.9844922461230605	-115016.53422690673
-183182.58291105824	-113943.80197571893	0.983991995997998	-115052.17665802558
-182917.10666256526	-113949.03309152923	0.9834917458729355	-115087.57557669397
-182653.42558440648	-113954.2684266603	0.9829914957478729	-115122.73833329538
-182391.53263900487	-113959.51241062475	0.9824912456228104	-115157.67184433833
-182131.42046978045	-113964.76909821441	0.9819909954977479	-115192.3826296684
-181873.08143378835	-113970.0422024413	0.9814907453726854	-115226.87684554284
-181616.50763102976	-113975.33512389663	0.9809904952476228	-115261.16031412734
-181361.6909304354	-113980.65097700752	0.9804902451225603	-115295.23854988586
-181108.6229931796	-113985.99261358542	0.9799899949974978	-115329.1167832622
-180857.29529380452	-113991.36264400219	0.9794897448724352	-115362.7999819922
-180607.69913899712	-113996.76345629185	0.9789894947473727	-115396.29287033575
-180359.82568474102	-114002.19723341576	0.9784892446223102	-115429.59994647585
-180113.66595173287	-114007.66596891201	0.9779889944972476	-115462.72549829884
-179869.21083947632	-114013.17148110755	0.9774887443721851	-115495.67361773923
-179626.45113894745	-114018.71542605842	0.9769884942471226	-115528.44821384882
-179385.3775442654	-114024.29930935067	0.97648824412206	-115561.05302472891
-179145.98066327377	-114029.92449688776	0.9759879939969975	-115593.49162844686
-178908.25102723262	-114035.59222476753	0.975487743871935	-115625.76745304212
-178672.17909970868	-114041.30360834273	0.9749874937468724	-115657.88378571563
-178437.75528467452	-114047.05965054793	0.9744872436218099	-115689.84378128359
-178204.96993405215	-114052.86124956074	0.9739869934967474	-115721.65046996778
-177973.81335451684	-114058.70920586825	0.9734867433716851	-115753.30676458684
-177744.27581390657	-114064.60422878688	0.9729864932466223	-115784.81546720437
-177516.34754700604	-114070.54694249392	0.9724862431215598	-115816.17927528446
-177290.0187609981	-114076.53789160859	0.9719859929964975	-115847.40078739944
-177065.27964040037	-114082.57754636883	0.9714857428714347	-115878.48250852988
-176842.12035175294	-114088.66630743345	0.9709854927463722	-115909.42685499255
-176620.53104784936	-114094.80451034753	0.9704852426213098	-115940.23615902824
-176400.501871704	-114100.9924296968	0.9699849924962471	-115970.91267307877
-176182.02296030245	-114107.23028297465	0.9694847423711846	-116001.45857377861
-175965.08444794704	-114113.51823419255	0.9689844922461222	-116031.87596568474
-175749.6764695083	-114119.8563972456	0.9684842421210595	-116062.1668847657
-175535.78916334565	-114126.24483906086	0.967983991995997	-116092.33330166934
-175323.41267410334	-114132.683582539	0.9674837418709346	-116122.37712478603
-175112.5371552818	-114139.17260930936	0.9669834917458722	-116152.3002031234
-174903.15277161388	-114145.71186231199	0.9664832416208095	-116182.10432900701
-174695.24970133032	-114152.30124821722	0.965982991495747	-116211.79124061932
-174488.81813823068	-114158.940639698	0.9654827413706846	-116241.36262438977
-174283.8482936913	-114165.62987756154	0.9649824912456219	-116270.82011724598
-174080.3303984359	-114172.36877275672	0.9644822411205594	-116300.16530873637
-173878.2547042511	-114179.15710825998	0.963981990995497	-116329.3997430331
-173677.61148561904	-114185.9946408498	0.9634817408704343	-116358.52492082393
