alpha	beta	x	y
-109636.34942749288	-169047.0504828481	9.99999999999999e-16	-109636.34942749294
-174733.72048719216	-103363.33000270852	0.9999999999999991	-103363.33000270858
-174733.72048719216	-103363.33000270852	0.9999999999999991	-103363.33000270858
-174435.72087933662	-103393.45868501635	0.9994997498749365	-103428.99758556385
-174129.71403582965	-103413.41798968644	0.998999499749874	-103484.1696615686
-173822.21701259736	-103429.73793203029	0.9984992496248114	-103535.3794714209
-173514.60242211889	-103443.80402393434	0.9979989994997489	-103584.0157265821
-173207.51379491895	-103456.27263570706	0.9974987493746864	-103630.73797127295
-172901.32366462206	-103467.52908119603	0.9969984992496238	-103675.93466773965
-172596.2728694551	-103477.82691956135	0.9964982491245613	-103719.86249817535
-172292.5280837808	-103487.34548693858	0.9959979989994988	-103762.7038965308
-171990.21003721183	-103496.21811584989	0.9954977488744362	-103804.5952680722
-171689.40901489576	-103504.54763561362	0.9949974987493737	-103845.64248993727
-171390.19408971368	-103512.41560470825	0.9944972486243112	-103885.93014364531
-171092.6189677233	-103519.88815649544	0.9939969984992487	-103925.5273609651
-170796.72587117934	-103527.0198823626	0.9934967483741861	-103964.4917072024
-170502.54821940235	-103533.85651286607	0.9929964982491236	-104002.8718624867
-170210.11253989086	-103540.43682890908	0.9924962481240611	-104040.7095330936
-169919.43986723688	-103546.79406101834	0.9919959979989985	-104078.04085086308
-169630.54679120675	-103552.95693744207	0.991495747873936	-104114.89742144113
-169343.44625709415	-103558.95048478799	0.9909954977488735	-104151.30712505894
-169058.14818762493	-103564.79665019012	0.9904952476238109	-104187.29473884015
-168774.65997373872	-103570.51479212049	0.9899949974987484	-104222.88242775455
-168492.9868666822	-103576.12207278304	0.9894947473736859	-104258.09013715122
-168213.13229532324	-103581.63377558162	0.9889944972486233	-104292.93591036623
-167935.0981255252	-103587.0635647323	0.9884942471235608	-104327.43614847335
-167658.88487439865	-103592.42369962193	0.9879939969984983	-104361.60582478189
-167384.49188862043	-103597.72521336243	0.9874937468734357	-104395.4586635283
-167111.91749412316	-103602.97806271375	0.9869934967483732	-104429.00728993575
-166841.1591228394	-103608.19125488738	0.9864932466233107	-104462.26335715593
-166572.2134203141	-103613.37295552544	0.9859929964982481	-104495.23765438197
-166305.07633819425	-103618.53058121318	0.9854927463731856	-104527.94019949861
-166039.74321364635	-103623.67087920272	0.9849924962481231	-104560.38031893931
-165776.2088383372	-103628.79999647618	0.9844922461230605	-104592.5667168853
-165514.46751826163	-103633.92353987538	0.983991995997998	-104624.50753552745
-165254.5131262655	-103639.04662868899	0.9834917458729355	-104656.2104077886
-164996.33914792785	-103644.17394084843	0.9829914957478729	-104687.68250365024
-164739.93872225576	-103649.3097536659	0.9824912456228104	-104718.93057102496
-164485.3046774277	-103654.45797990251	0.9819909954977479	-104749.96097195405
-164232.42956270417	-103659.62219980947	0.9814907453726854	-104780.77971478057
-163981.30567690884	-103664.80568968828	0.9809904952476228	-104811.3924828421
-163731.92509358737	-103670.01144743485	0.9804902451225603	-104841.80466014124
-163484.27968390234	-103675.24221544295	0.9799899949974978	-104872.02135438166
-163238.36113695265	-103680.5005012083	0.9794897448724352	-104902.04741769936
-162994.16097822288	-103685.78859590703	0.9789894947473727	-104931.88746537044
-162751.67058615328	-103691.10859119351	0.9784892446223102	-104961.54589273597
-162510.88120722855	-103696.46239442212	0.9779889944972476	-104991.02689055199
-162271.78396959582	-103701.85174247481	0.9774887443721851	-105020.33445894333
-162034.36989548593	-103707.27821434739	0.9769884942471226	-105049.47242011651
-161798.62991246703	-103712.74324263191	0.97648824412206	-105078.44442996677
-161564.55486383097	-103718.24812400878	0.9759879939969975	-105107.25398869692
-161332.13551798806	-103723.79402885622	0.975487743871935	-105135.90445055085
-161101.36257707587	-103729.38201006546	0.9749874937468724	-105164.39903275212
-160872.22668491222	-103735.01301114	0.9744872436218099	-105192.74082372755
-160644.71843427798	-103740.68787365034	0.9739869934967474	-105220.93279068523
-160418.82837359002	-103746.40734410686	0.9734867433716851	-105248.97778660947
-160194.54701307253	-103752.17208030501	0.9729864932466223	-105276.878556728
-159971.8648304354	-103757.98265719166	0.9724862431215598	-105304.63774449957
-159750.77227619238	-103763.83957229451	0.9719859929964975	-105332.25789716613
-159531.25977841375	-103769.74325076013	0.9714857428714347	-105359.74147090838
-159313.3177472869	-103775.69405002598	0.9709854927463722	-105387.0908356394
-159096.93657933164	-103781.6922641622	0.9704852426213098	-105414.3082794674
-158882.10666113743	-103787.738127917	0.9699849924962471	-105441.39601285613
-158668.81837308803	-103793.83182047709	0.9694847423711846	-105468.35617250779
-158457.06209257423	-103799.97346898165	0.9689844922461222	-105495.19082499108
-158246.82819722136	-103806.16315179509	0.9684842421210595	-105521.90197013524
-158038.1070676752	-103812.40090157204	0.967983991995997	-105548.49154420871
-157830.88909034088	-103818.68670811922	0.9674837418709346	-105574.96142289886
-157625.16465986008	-103825.02052107695	0.9669834917458722	-105601.31342410835
-157420.9241815192	-103831.40225242841	0.9664832416208095	-105627.54931058208
