alpha	beta	x	y
-71471.25956571705	-131884.96708787544	9.99999999999999e-16	-71471.2595657171
-132947.802094533	-70355.30773314912	0.9999999999999991	-70355.30773314918
-132947.802094533	-70355.30773314912	0.9999999999999991	-70355.30773314918
-132716.4120263795	-70378.65489927185	0.9994997498749365	-70409.83937007085
-132478.78834110708	-70394.11844135878	0.998999499749874	-70456.23416912246
-132239.9835386374	-70406.76093812686	0.9984992496248114	-70499.55717014369
-132001.0617624062	-70417.65656489258	0.9979989994997489	-70540.88498949997
-131762.52191755973	-70427.31421201411	0.9974987493746864	-70580.72893864135
-131524.6528126746	-70436.0326267034	0.9969984992496238	-70619.39016603104
-131287.64115670844	-70444.00841016929	0.9964982491245613	-70657.06765440435
-131051.61616171665	-70451.38062046084	0.9959979989994988	-70693.90282372755
-130816.67142049686	-70458.2526502621	0.9954977488744362	-70730.00140910764
-130582.87692343487	-70464.70424396743	0.9949974987493737	-70765.44547798183
-130350.2862161227	-70470.7986552983	0.9944972486243112	-70800.30058784917
-130118.94093106192	-70476.5871793443	0.9939969984992487	-70834.62031842419
-129888.8737981611	-70482.11216306381	0.9934967483741861	-70868.44928225159
-129660.11072313561	-70487.40908390559	0.9929964982491236	-70901.82520344002
-129432.6722690425	-70492.50803149643	0.9924962481240611	-70934.78039946206
-129206.57474097796	-70497.43479246288	0.9919959979989985	-70967.34286608787
-128981.83099847374	-70502.2116629952	0.991495747873936	-70999.53709006036
-128758.45107605579	-70506.85806956039	0.9909954977488735	-71031.38466991908
-128536.44266544917	-70511.39105125077	0.9904952476238109	-71062.90479845932
-128315.8114959501	-70515.82564029795	0.9899949974987484	-71094.11464335605
-128096.56163848873	-70520.17516628423	0.9894947473736859	-71125.02965148503
-127878.69575156391	-70524.45150226727	0.9889944972486233	-71155.66379515604
-127662.21528240689	-70528.66526604895	0.9884942471235608	-71186.02977349084
-127447.12063301593	-70532.8259863621	0.9879939969984983	-71216.13917871818
-127233.41129843224	-70536.94224129786	0.9874937468734357	-71246.0026347088
-127021.08598277833	-70541.02177453609	0.9869934967483732	-71275.62991331267
-126810.14269749064	-70545.07159365258	0.9864932466233107	-71305.03003277401
-126600.57884483549	-70549.09805383038	0.9859929964982481	-71334.21134154838
-126392.391289497	-70553.10692958283	0.9854927463731856	-71363.18159013192
-126185.5764202204	-70557.10347655958	0.9849924962481231	-71391.94799297275
-125980.13020324413	-70561.09248508915	0.9844922461230605	-71420.51728211912
-125776.04822872921	-70565.07832679433	0.983991995997998	-71448.89575393892
-125573.32575144248	-70569.0649953613	0.9834917458729355	-71477.08930999401
-125371.9577263135	-70573.05614235344	0.9829914957478729	-71505.10349295611
-125171.93884000409	-70577.05510879311	0.9824912456228104	-71532.94351829411
-124973.26353863912	-70581.06495312332	0.9819909954977479	-71560.61430233726
-124775.92605249627	-70585.0884760482	0.9814907453726854	-71588.12048721813
-124579.92041809378	-70589.128242674	0.9809904952476228	-71615.46646311726
-124385.24049772322	-70593.18660231147	0.9804902451225603	-71642.65638816498
-124191.87999716848	-70597.26570623179	0.9799899949974978	-71669.6942063006
-123999.8324814685	-70601.36752363949	0.9794897448724352	-71696.58366334489
-123809.09138920566	-70605.49385607515	0.9789894947473727	-71723.32832150365
-123619.65004538329	-70609.6463504368	0.9784892446223102	-71749.93157248922
-123431.50167307883	-70613.82651078101	0.9779889944972476	-71776.39664942095
-123244.6394040074	-70618.03570904206	0.9774887443721851	-71802.72663764314
-123059.05628816283	-70622.27519478863	0.9769884942471226	-71828.92448458118
-122874.74530257579	-70626.54610412406	0.97648824412206	-71854.99300874004
