x	y	temp
0.0	0.0	473
0.05	3.218412185154179	473
0.1	3.4134769983311557	473
0.15	3.495461686200443	473
0.2	2.9844644865200536	473
0.25	2.4152344216882895	473
0.3	4.000580880946913	473
0.35	4.931823438330873	473
0.4	4.456335912342659	473
0.45	2.2320265791059057	473
0.5	1.560837055071218	473
0.55	0.9874269222175158	473
0.6	1.4318329820200475	473
0.65	4.719331372002507	473
0.7	4.17684296449093	473
0.75	3.6329920594894816	473
0.8	3.0567191149341895	473
0.85	2.7884674348235023	473
0.9	2.085516179262278	473
0.95	1.225695657433178	473
1.0	0.0	473
x	y	temp
0.0	0.0	473
0.05	3.218412185154179	473
0.1	3.4134769983311557	473
0.15	3.495461686200443	473
0.2	2.9844644865200536	473
0.25	2.4152344216882895	473
0.3	4.000580880946913	473
0.35	4.931823438330873	473
0.4	4.456335912342659	473
0.45	2.2320265791059057	473
0.5	1.560837055071218	473
0.55	0.9874269222175158	473
0.6	1.4318329820200475	473
0.65	4.719331372002507	473
0.7	4.17684296449093	473
0.75	3.6329920594894816	473
0.8	3.0567191149341895	473
0.85	2.7884674348235023	473
0.9	2.085516179262278	473
0.95	1.225695657433178	473
1.0	0.0	473
x	y	temp
0.0	0.0	573
0.05	2.3692188729076875	573
0.1	3.839546817592243	573
0.15	2.12186502097142	573
0.2	1.6443697354144078	573
0.25	1.9561030050114425	573
0.3	2.909207674506611	573
0.35	4.114663978136036	573
0.4	4.208415047202934	573
0.45	3.872337919819678	573
0.5	4.393841292930233	573
0.55	3.789515549814979	573
0.6	5.627431267485093	573
0.65	4.8286611914153355	573
0.7	4.156758391548223	573
0.75	3.5428964899160036	573
0.8	3.115218806566297	573
0.85	2.690747786159015	573
0.9	2.0017413727722086	573
0.95	1.1753972662953984	573
1.0	0.0	573
x	y	temp
0.0	0.0	673
0.05	1.9098338107386326	673
0.1	3.2528730235082364	673
0.15	4.367586008984517	673
0.2	5.349664187260686	673
0.25	1.335102216955356	673
0.3	2.3219705039402143	673
0.35	3.5973376977275606	673
0.4	3.8326918963908128	673
0.45	3.6473688435970857	673
0.5	6.58716015623731	673
0.55	8.476904266171275	673
0.6	7.116751201689496	673
0.65	5.739784185464366	673
0.7	4.730373546019003	673
0.75	4.051546373848964	673
0.8	3.5741067327969063	673
0.85	2.8363397759807114	673
0.9	2.070755397136452	673
0.95	1.1974070857914683	673
1.0	0.0	673
x	y	temp
0.0	0.0	773
0.05	1.7252930463618696	773
0.1	2.986646269757294	773
0.15	4.053063153016737	773
0.2	5.00004215830468	773
0.25	5.856235990861336	773
0.3	4.452985037911553	773
0.35	7.3224655621111765	773
0.4	7.917003398687754	773
0.45	8.387673414369473	773
0.5	8.693665905434024	773
0.55	8.884975416918778	773
0.6	8.747742031587421	773
0.65	8.140647443268477	773
0.7	6.617901728779728	773
0.75	5.213391082585332	773
0.8	4.118108728414306	773
0.85	3.1631104791500206	773
0.9	2.245317170141142	773
0.95	1.2659763731534284	773
1.0	0.0	773
x	y	temp
0.0	0.0	873
0.05	1.6043532602412824	873
0.1	2.789463610190012	873
0.15	3.7947175812022778	873
0.2	4.686537488808966	873
0.25	5.491133318204945	873
0.3	6.218353544538516	873
0.35	6.8686298899691565	873
0.4	7.434562991765915	873
0.45	7.9000762278262044	873
0.5	8.237729047537705	873
0.55	8.468472503681795	873
0.6	8.514002022055571	873
0.65	8.300612957794513	873
0.7	7.743277666132357	873
0.75	6.697178719039151	873
0.8	5.026643708814035	873
0.85	3.692199112017299	873
0.9	2.524218926378566	873
0.95	1.3753309097049424	873
1.0	0.0	873
x	y	temp
0.0	0.0	973
0.05	1.4917385538102792	973
0.1	2.5863203406811834	973
0.15	3.508565926877594	973
0.2	4.320376822927699	973
0.25	5.046743408708238	973
0.3	5.697700731909109	973
0.35	6.275007924770492	973
0.4	6.774189399544781	973
0.45	7.1845931063296575	973
0.5	7.485928154105295	973
0.55	7.681185898619361	973
0.6	7.7574310834942395	973
0.65	7.646783787475201	973
0.7	7.310298639773663	973
0.75	6.709264946144103	973
0.8	5.806796309360607	973
0.85	4.574810681418995	973
0.9	2.974578205965372	973
0.95	1.5448668522045494	973
1.0	0.0	973
x	y	temp
0.0	0.0	1073
0.05	1.3719710049510354	1073
0.1	2.358614639518123	1073
0.15	3.1769605493656883	1073
0.2	3.8864833220995507	1073
0.25	4.511518160803675	1073
0.3	5.06220035338491	1073
0.35	5.54100208078907	1073
0.4	5.945017243332458	1073
0.45	6.266498748591374	1073
0.5	6.492624525602196	1073
0.55	6.605070972133731	1073
0.6	6.637371117413835	1073
0.65	6.517461978998369	1073
0.7	6.219321697425414	1073
0.75	5.720422450552078	1073
0.8	5.006579336457321	1073
0.85	4.076352829990682	1073
0.9	2.9433128155764905	1073
0.95	1.6227509286424748	1073
1.0	0.0	1073
x	y	temp
0.0	0.0	1173
0.05	1.3146206800231681	1173
0.1	2.2506472050161506	1173
0.15	3.020676678925284	1173
0.2	3.6828012559172976	1173
0.25	4.260982849775658	1173
0.3	4.765413862969467	1173
0.35	5.198972730834996	1173
0.4	5.559647353647051	1173
0.45	5.8413440322387515	1173
0.5	6.033975560589283	1173
0.55	6.111099080250966	1173
0.6	6.1290345921302105	1173
0.65	6.013832897461427	1173
0.7	5.745074025703815	1173
0.75	5.304399029771801	1173
0.8	4.678647516429507	1173
0.85	3.8613189823325484	1173
0.9	2.8485887966359513	1173
0.95	1.6178291297194534	1173
1.0	0.0	1173
x	y	temp
0.0	0.0	1273
0.05	1.2837486997318308	1273
0.1	2.1929287587890514	1273
0.15	2.9374876831973182	1273
0.2	3.5746908980731007	1273
0.25	4.128277062410589	1273
0.3	4.6084727380506365	1273
0.35	5.018399328748188	1273
0.4	5.356579365034236	1273
0.45	5.617907623931757	1273
0.5	5.793930300154614	1273
0.55	5.85291038606843	1273
0.6	5.865636061433008	1273
0.65	5.756484944674213	1273
0.7	5.508035566480729	1273
0.75	5.103508084362687	1273
0.8	4.528496027183479	1273
0.85	3.770875313066256	1273
0.9	2.815321314577858	1273
0.95	1.6214763927925588	1273
1.0	0.0	1273
