alpha	beta	x	y
-119744.93313101868	-197036.39800479278	0.0	-119744.93313101868
-120260.69893106558	-174568.91392194756	0.05	-122976.10968060968
-121148.33360625709	-163079.25525310455	0.1	-125341.42577094183
-122086.84174934025	-156530.20942268666	0.15	-127253.3469003422
-123062.37913905733	-151916.72834033804	0.2	-128833.24897931347
-124174.00676423148	-148035.57183612764	0.25	-130139.39803220553
-125477.43240587157	-144568.2638722852	0.3	-131204.68184579565
-126948.76335030336	-141520.684336341	0.35	-132048.93569541653
-128519.23907451177	-138931.56448871965	0.4	-132684.16924019493
-130133.50024361917	-136763.741636576	0.45	-133117.10887044974
-131796.46092978638	-134904.5391750245	0.5	-133350.50005240543
-133599.7719647377	-133227.55913982654	0.55	-133395.05491103657
-135734.57966448448	-131683.89074198424	0.6	-133304.16631098435
-138274.68372870088	-130168.1379185304	0.65	-133005.42895209006
-141315.08738217715	-128705.55819885255	0.7	-132488.41695384993
-144895.72228184255	-127351.39464186126	0.75	-131737.47655185658
-149086.0364225671	-126139.3883090897	0.8	-130728.71793178517
-154235.88208013217	-125046.20754400772	0.85	-129424.65872442638
-161475.5248873444	-124015.9143853329	0.9	-127761.87543553405
-173549.47004931478	-123090.46335230408	0.95	-125613.41368715462
-195937.6489450652	-122561.07508081451	1.0	-122561.07508081451
