alpha	beta	x	y
-9803.656091613528	-27452.378385445627	0.0	-9803.656091613528
-9862.637473667985	-32457.629957084326	0.05	-10992.387097838802
-10213.092904211728	-27894.008766730243	0.1	-11981.18449046358
-10597.47175971848	-25217.81174174902	0.15	-12790.522757023062
-11163.351107894205	-22532.731654329535	0.2	-13437.227217181271
-11759.705848602884	-20479.275910435572	0.25	-13939.598364061056
-12370.28641908723	-18857.554177245693	0.3	-14316.466746534768
-13013.02454249646	-17515.971158876404	0.35	-14589.05585822944
-13421.50150155733	-16830.98209868496	0.4	-14785.293740408382
-13319.157280204696	-16946.132336545023	0.45	-14951.296055557843
-12855.657232268619	-17462.172251018885	0.5	-15158.914741643752
-12422.065608112718	-17858.155145194312	0.55	-15411.914853507595
-12261.990359920128	-17978.475225757094	0.6	-15691.881279422307
-12395.026783368103	-17903.032822699995	0.65	-15975.230708933834
-12931.01433234287	-17648.774555495096	0.7	-16233.446488549427
-14078.121810239993	-17218.885777693606	0.75	-16433.6947858302
-15676.521830340567	-16754.796606926076	0.8	-16539.141651608974
-17524.864335831182	-16365.585857455537	0.85	-16539.477629211884
-20601.724213952664	-15935.723130260121	0.9	-16402.323238629375
-25488.773230424194	-15543.692012601452	0.95	-16040.946073492589
-38134.8143887007	-15325.70448870659	1.0	-15325.70448870659
