alpha	beta	x	y
-73192.9570412301	-141231.1428750156	0.0	-73192.9570412301
-73656.44095960293	-122245.14773373661	0.05	-76085.87629830961
-74557.35583923025	-110559.10174978367	0.1	-78157.5304302856
-75666.44930873533	-102747.37425189705	0.15	-79728.5880502096
-76890.79744529042	-96993.28525957263	0.2	-80911.29500814686
-78209.603054108	-92454.75917210503	0.25	-81770.89208360725
-79599.32836188245	-88777.09229977666	0.3	-82352.65754325071
-81017.6666689571	-85799.04721410615	0.35	-82691.14985975927
-82421.37116221608	-83404.00055129413	0.4	-82814.4229178473
-83840.4664206065	-81515.37823291052	0.45	-82794.17673614332
-85266.83658446919	-79971.08050713874	0.5	-82618.95854580397
-86739.26572732895	-78635.68078136821	0.55	-82282.29400705054
-88336.22724480156	-77438.40349293059	0.6	-81797.53299367898
-90118.86863672786	-76356.03582622476	0.65	-81173.02730990085
-92106.13908832867	-75399.42911417043	0.7	-80411.4421064179
-94285.40922209807	-74583.64772783597	0.75	-79509.08810140149
-96694.76965702398	-73894.66052298372	0.8	-78454.68234979176
-99621.70410688731	-73273.97900739546	0.85	-77226.13777231924
-103970.14571908861	-72649.95936260557	0.9	-75781.97799825387
-111847.72176327628	-72044.28186140815	0.95	-74034.45385650155
-127330.89803648536	-71688.02748001086	1.0	-71688.02748001086
