alpha	beta	x	y
-94415.65420370828	-39976.52954439126	0.9999999999999991	-39976.52954439131
-42965.48649577313	-111769.24133380543	9.99999999999999e-16	-42965.4864957732
-42965.48649577313	-111769.24133380543	9.99999999999999e-16	-42965.4864957732
-42977.66300111241	-111241.34171973365	0.0005002501250635303	-43011.811914928694
-42984.735611803735	-110717.55889650056	0.0010005002501260606	-43052.50231844182
-42990.17995912592	-110201.19980589091	0.0015007503751885908	-43091.04692237776
-42994.72448872528	-109692.82687345732	0.002001000500251121	-43128.18742496293
-42998.70854845618	-109192.61606094385	0.0025012506253136516	-43164.27610101375
-43002.32702963318	-108700.60147251119	0.0030015007503761816	-43199.5204496719
-43005.70475706247	-108216.74971012694	0.003501750875438712	-43234.05759081514
-43008.927208545116	-107740.99055881074	0.004002001000501242	-43267.98499083739
-43012.05557980566	-107273.2320176836	0.004502251125563773	-43301.37553375315
-43015.13505673503	-106813.36853870752	0.005002501250626303	-43334.28579951635
-43018.19974018212	-106361.28591834602	0.0055027513756888335	-43366.76099478939
-43021.275762152356	-105916.86438100069	0.006003001500751363	-43398.838075021944
-43024.3833539549	-105479.98061476173	0.006503251625813894	-43430.54781838242
-43027.538272496924	-105050.50916566816	0.007003501750876424	-43461.9162577418
-43030.752815459484	-104628.32342120809	0.007503751875938954	-43492.96570144565
-43034.03656317534	-104213.29632087702	0.008004002001001485	-43523.71548069577
-43037.396933045944	-103805.30087962735	0.008504252126064015	-43554.182509380116
-43040.83960188733	-103404.21057959588	0.009004502251126544	-43584.3817117417
-43044.368833048575	-103009.89966695006	0.009504752376189075	-43614.32635473154
-43047.987733466274	-102622.24337901268	0.010005002501251607	-43644.02831021017
-43051.698458242456	-102241.11811924954	0.010505252626314134	-43673.49826458626
-43055.50237529214	-101866.40159266326	0.011005502751376666	-43702.74588843985
-43059.4001991756	-101497.97291070494	0.011505752876439197	-43731.77997524628
-43063.39210084549	-101135.7126724308	0.012006003001501727	-43760.608555932115
-43067.47779835274	-100779.50302694479	0.012506253126564257	-43789.23899430817
