alpha	beta	x	y
-118372.27135605956	-60591.15915459605	0.9999999999999991	-60591.1591545961
-61935.39574920464	-134419.35650925108	9.99999999999999e-16	-61935.39574920471
-61935.39574920464	-134419.35650925108	9.99999999999999e-16	-61935.39574920471
-61956.91839104812	-134157.62836326897	0.0005002501250635303	-61993.036805241405
-61971.20183241891	-133890.24921228905	0.0010005002501260606	-62043.1568573113
-61982.91032308529	-133621.8739783166	0.0015007503751885908	-62090.422524669004
-61993.0334676477	-133353.48298136584	0.002001000500251121	-62135.825762822795
-62002.0400554285	-133085.53576920717	0.0025012506253136516	-62179.83769353207
-62010.20526412626	-132818.29832087894	0.0030015007503761816	-62222.73580856881
-62017.71016108121	-132551.94254781064	0.003501750875438712	-62264.70347108984
-62024.68279731965	-132286.58738772565	0.004002001000501242	-62305.871009787574
-62031.218364274915	-132022.3189612205	0.004502251125563773	-62346.33587571696
-62037.39026550758	-131759.2016433439	0.005002501250626303	-62386.173714121134
-62043.256711250484	-131497.28465800075	0.0055027513756888335	-62425.44495908159
-62048.86489392399	-131236.60625332667	0.006003001500751363	-62464.19900913808
-62054.25376180851	-130977.19647522044	0.006503251625813894	-62502.47700106539
-62059.45593414549	-130719.07908230455	0.007003501750876424	-62540.31372507814
-62064.49906626424	-130462.27291091255	0.007503751875938954	-62577.738990061065
-62069.40684906351	-130206.792874431	0.008004002001001485	-62614.778623153565
-62074.19975765283	-129952.65071180163	0.008504252126064015	-62651.45521849358
-62078.89562323556	-129699.85555926559	0.009004502251126544	-62687.78870920288
-62083.51007751232	-129448.41439462823	0.009504752376189075	-62723.79681189218
-62088.05690326074	-129198.3323877006	0.010005002501251607	-62759.495377342246
-62092.54831461557	-128949.61318044149	0.010505252626314134	-62794.89867088494
-62096.99518383064	-128702.25911358178	0.011005502751376666	-62830.01959926568
-62101.407226715004	-128456.27141192311	0.011505752876439197	-62864.86989617969
-62105.79315574605	-128211.65033731391	0.012006003001501727	-62899.460275484795
-62110.160807607084	-127968.39531605011	0.012506253126564257	-62933.8005588383
-62114.517250273726	-127726.5050458251	0.013006503251626788	-62967.89978288226
-62118.86887358832	-127485.97758616784	0.013506753376689318	-63001.76628991637
-62123.22146638528	-127246.8104354322	0.014007003501751847	-63035.407805121366
-62127.58028257213	-127009.00059674255	0.01450725362681438	-63068.83150273775
-62131.95009807308	-126772.54463480177	0.015007503751876908	-63102.044063106594
-62136.33526016005	-126537.4387250873	0.01550775387693944	-63135.05172209745
-62140.73973040032	-126303.67869666408	0.01600800400200197	-63167.86031415247
-62145.167122219354	-126071.2600696127	0.016508254127064498	-63200.47530994527
-62149.6207338957	-125840.17808789032	0.01700850425212703	-63232.90184947146
-62154.103577660135	-125610.42774829583	0.01750875437718956	-63265.14477124311
