x	y	temp
0.0	0.0	1150
0.05	338.9665158309981	1150
0.1	622.3701273420993	1150
0.15	889.7359282082143	1150
0.2	1137.9973709771184	1150
0.25	1364.0879082244428	1150
0.3	1564.940992237578	1150
0.35	1737.490075487105	1150
0.4	1878.6686104481196	1150
0.45	1985.4100430784092	1150
0.5	2054.6474537107424	1150
0.55	2083.3102193241866	1150
0.6	2068.3109249259505	1150
0.65	2006.5136536739046	1150
0.7	1894.6783557081835	1150
0.75	1729.3866491355002	1150
0.8	1506.969905736736	1150
0.85	1223.4751166685128	1150
0.9	874.7104444375618	1150
0.95	456.4041910464621	1150
1.0	0.0	1150
x	y	temp
0.0	0.0	1160
0.05	339.080454813884	1160
0.1	622.4115522803986	1160
0.15	889.7048390716045	1160
0.2	1137.8937678285656	1160
0.25	1363.9117910122877	1160
0.3	1564.6923609605437	1160
0.35	1737.1689301640727	1160
0.4	1878.2749510525682	1160
0.45	1984.9438698647573	1160
0.5	2054.108779555376	1160
0.55	2082.6991958366198	1160
0.6	2067.6284140698335	1160
0.65	2005.762878656653	1160
0.7	1893.868445669923	1160
0.75	1728.5387095846818	1160
0.8	1506.1255375001674	1160
0.85	1222.7061014310639	1160
0.9	874.1268988807897	1160
0.95	456.15737118451943	1160
1.0	0.0	1160
x	y	temp
0.0	0.0	1170
0.05	339.2002324019668	1170
0.1	622.4619387017519	1170
0.15	889.6858343425229	1170
0.2	1137.8053719075106	1170
0.25	1363.7540038942316	1170
0.3	1564.465182690823	1170
0.35	1736.8723607009888	1170
0.4	1877.9089904534194	1170
0.45	1984.5085182633084	1170
0.5	2053.6040493327237	1170
0.55	2082.125232243219	1170
0.6	2066.986042642864	1170
0.65	2005.0551866499118	1170
0.7	1893.1041770806878	1170
0.75	1727.7380794581404	1170
0.8	1505.3283914571039	1170
0.85	1221.9811918523592	1170
0.9	873.5796924204333	1170
0.95	455.93272503642584	1170
1.0	0.0	1170
x	y	temp
0.0	0.0	1180
0.05	339.32570065320397	1180
0.1	622.5209820891323	1180
0.15	889.6784528767676	1180
0.2	1137.7315656029205	1180
0.25	1363.6137727447713	1180
0.3	1564.258526699501	1180
0.35	1736.5992798697844	1180
0.4	1877.5694847449995	1180
0.45	1984.1025879509325	1180
0.5	2053.131706221022	1180
0.55	2081.586615447195	1180
0.6	2066.3819432160126	1180
0.65	2004.3885626836454	1180
0.7	1892.3834067538446	1180
0.75	1726.9825320515447	1180
0.8	1504.5762455153708	1180
0.85	1221.2983226893302	1180
0.9	873.0671506215913	1180
0.95	455.7292921947046	1180
1.0	0.0	1180
x	y	temp
0.0	0.0	1190
0.05	339.4567206101783	1190
0.1	622.5883961775799	1190
0.15	889.6822610565905	1190
0.2	1137.6717678873247	1190
0.25	1363.4903691537475	1190
0.3	1564.0715172292985	1190
0.35	1736.348664483623	1190
0.4	1877.2552635030515	1190
0.45	1983.724760994719	1190
0.5	2052.6902848998543	1190
0.55	2081.0817331918843	1190
0.6	2065.8143581864497	1190
0.65	2003.7611102275914	1190
0.7	1891.7041174390106	1190
0.75	1726.2699715832896	1190
0.8	1503.8670082870922	1190
0.85	1220.6555503455347	1190
0.9	872.5876979132408	1190
0.95	455.54616951393837	1190
1.0	0.0	1190
x	y	temp
0.0	0.0	1200
0.05	339.5931618428767	1200
0.1	622.6639116847509	1200
0.15	889.6968508209247	1200
0.2	1137.6254319176696	1200
0.25	1363.3831074117697	1200
0.3	1563.903329701192	1200
0.35	1736.1195512156046	1200
0.4	1876.9652244682438	1200
0.45	1983.3737964005886	1200
0.5	2052.278405629644	1200
0.55	2080.609067070589	1200
0.6	2065.2816322716862	1200
0.65	2003.1710432268046	1200
0.7	1891.0644094830277	1200
0.75	1725.5984243344283	1200
0.8	1503.1987103611027	1200
0.85	1220.051044668482	1200
0.9	872.1398509674655	1200
0.95	455.38250701278594	1200
1.0	0.0	1200
x	y	temp
0.0	0.0	1210
0.05	339.7349019754547	1210
0.1	622.7472753352413	1210
0.15	889.7218380414488	1210
0.2	1137.5920426527482	1210
0.25	1363.291341715947	1210
0.3	1563.7531875471977	1210
0.35	1735.9110326146256	1210
0.4	1876.6983294138881	1210
0.45	1983.0485250577913	1210
0.5	2051.894768445829	1210
0.55	2080.167186724775	1210
0.6	2064.7822060806247	1210
0.65	2002.6166789149065	1210
0.7	1890.4624929290912	1210
0.75	1724.9660307595113	1210
0.8	1502.5694962248963	1210
0.85	1219.483081474682	1210
0.9	871.7222127380155	1210
0.95	455.2375046706693	1210
1.0	0.0	1210
x	y	temp
0.0	0.0	1220
0.05	339.88182585955656	1220
0.1	622.8382486966002	1220
0.15	889.7568608507063	1220
0.2	1137.5711150065326	1220
0.25	1363.214463485223	1220
0.3	1563.6203588219796	1220
0.35	1735.722253343225	1220
0.4	1876.4535996237937	1220
0.45	1982.7478449410264	1220
0.5	2051.5381479681346	1220
0.55	2079.7547436107816	1220
0.6	2064.3146094541626	1220
0.65	2002.0964309051487	1220
0.7	1889.8966804051306	1220
0.75	1724.3710376782183	1220
0.8	1501.9776165710282	1220
0.85	1218.9500355194323	1220
0.9	871.333466390497	1220
0.95	455.1104086066989	1220
1.0	0.0	1220
x	y	temp
0.0	0.0	1230
0.05	340.0338254514936	1230
0.1	622.9366072916309	1230
0.15	889.80157850041	1230
0.2	1137.5621916096934	1230
0.25	1363.1518991435296	1230
0.3	1563.5041534569536	1230
0.35	1735.5524069929088	1230
0.4	1876.2301122912577	1230
0.45	1982.4707167857123	1230
0.5	2051.2073885948666	1230
0.55	2079.370466017146	1230
0.6	2063.877455840822	1230
0.65	2001.6088029868442	1230
0.7	1889.3653804479363	1230
0.75	1723.8117917369345	1230
0.8	1501.421421664265	1230
0.85	1218.4503740737855	1230
0.9	870.9723704304488	1230
0.95	455.0005085284283	1230
1.0	0.0	1230
