x	y	temp
0.0	0.0	473
0.05	1.6602694361112782	473
0.1	2.636093344199111	473
0.15	3.4102385978105687	473
0.2	4.05016931960877	473
0.25	4.587163520155315	473
0.3	5.038447533069117	473
0.35	5.414151961570283	473
0.4	5.720199883533752	473
0.45	5.95969043651521	473
0.5	6.133579587789768	473
0.55	6.24081595498177	473
0.6	6.277654447197328	473
0.65	6.235651568765945	473
0.7	6.097953350466923	473
0.75	5.8336013212412965	473
0.8	5.386474164017649	473
0.85	4.578171373380101	473
0.9	3.1511885957980823	473
0.95	1.718754686658464	473
1.0	0.0	473
x	y	temp
0.0	0.0	573
0.05	1.6160332324649573	573
0.1	2.5468766053731784	573
0.15	3.2760413257222254	573
0.2	3.8709915107018276	573
0.25	4.363005170058528	573
0.3	4.769308642486223	573
0.35	5.100032532796625	573
0.4	5.361099917075435	573
0.45	5.5556101727929175	573
0.5	5.68453282865638	573
0.55	5.746965040519129	573
0.6	5.739922281459499	573
0.65	5.657490605378364	573
0.7	5.489174633220152	573
0.75	5.2173902211631855	573
0.8	4.813996065986345	573
0.85	4.2344390161460055	573
0.9	3.401014545857308	573
0.95	2.0079387882068502	573
1.0	0.0	573
x	y	temp
0.0	0.0	673
0.05	1.5630630465651691	673
0.1	2.440014670695149	673
0.15	3.1152876429039082	673
0.2	3.6563460785206345	673
0.25	4.094467987014845	673
0.3	4.446879708796033	673
0.35	4.723711849248545	673
0.4	4.930887483855429	673
0.45	5.071506072442375	673
0.5	5.146541801451825	673
0.55	5.155142842187075	673
0.6	5.094585877399716	673
0.65	4.9598253615601	673
0.7	4.7425396282939545	673
0.75	4.429577825344772	673
0.8	4.000627872249808	673
0.85	3.424362857569733	673
0.9	2.649820191134573	673
0.95	1.5765029563191675	673
1.0	0.0	673
x	y	temp
0.0	0.0	773
0.05	1.55182029795251	773
0.1	2.4164417482540443	773
0.15	3.079384546896435	773
0.2	3.6081128084376033	773
0.25	4.03390454224737	773
0.3	4.37398608944094	773
0.35	4.638488055612044	773
0.4	4.833333515986162	773
0.45	4.961621963765111	773
0.5	5.0243294699624315	773
0.55	5.020624847955467	773
0.6	4.947890471503911	773
0.65	4.801432147362711	773
0.7	4.573807138415582	773
0.75	4.253649086383568	773
0.8	3.8237200833158553	773
0.85	3.2573544059220723	773
0.9	2.5101819763514825	773
0.95	1.4915468852487237	773
1.0	0.0	773
x	y	temp
0.0	0.0	873
0.05	1.5479279318275943	873
0.1	2.4074223051309787	873
0.15	3.065238026839104	873
0.2	3.588839211251802	873
0.25	4.009503867628787	873
0.3	4.344458337450661	873
0.35	4.60383322636909	873
0.4	4.793551609537829	873
0.45	4.916712995353791	873
0.5	4.974294314478627	873
0.55	4.965473796192143	873
0.6	4.887682025382027	873
0.65	4.736385076691242	873
0.7	4.504541083143337	873
0.75	4.181596844076537	873
0.8	3.751708404277508	873
0.85	3.1902782445132374	873
0.9	2.4556381404763883	873
0.95	1.4603134110673608	873
1.0	0.0	873
x	y	temp
0.0	0.0	973
0.05	1.546784860285186	973
0.1	2.4037715873105157	973
0.15	3.059079662845278	973
0.2	3.5801732009291953	973
0.25	3.998330210868531	973
0.3	4.330777034243781	973
0.35	4.5876442767931	973
0.4	4.774855013618989	973
0.45	4.8955087606881165	973
0.5	4.950582878439789	973
0.55	4.939260303230881	973
0.6	4.85899572083602	973
0.65	4.70533532449096	973
0.7	4.471437637508217	973
0.75	4.147155856912249	973
0.8	3.7173418477700437	973
0.85	3.158424957404634	973
0.9	2.4300519069365834	973
0.95	1.4461982258006856	973
1.0	0.0	973
x	y	temp
0.0	0.0	1073
0.05	1.5469288139801307	1073
0.1	2.4025797100287605	1073
0.15	3.056551954610754	1073
0.2	3.5763096616809094	1073
0.25	3.9931308405268453	1073
0.3	4.324241832807445	1073
0.35	4.579773244322567	1073
0.4	4.765648150090726	1073
0.45	4.884966070209742	1073
0.5	4.9387045960970966	1073
0.55	4.92604919353937	1073
0.6	4.844467500314522	1073
0.65	4.689548765083131	1073
0.7	4.454559199609463	1073
0.75	4.129570382422656	1073
0.8	3.699807951776492	1073
0.85	3.142251997445797	1073
0.9	2.4172503894629216	1073
0.95	1.4395369535861704	1073
1.0	0.0	1073
x	y	temp
0.0	0.0	1173
0.05	1.5477561897546934	1173
0.1	2.402651425340437	1173
0.15	3.055868009479866	1173
0.2	3.574870056048823	1173
0.25	3.9909355743618136	1173
0.3	4.321290906105347	1173
0.35	4.5760666571490844	1173
0.4	4.761185902428366	1173
0.45	4.879748164395238	1173
0.5	4.932731165984194	1173
0.55	4.9193218145569375	1173
0.6	4.836995127967484	1173
0.65	4.681364888944373	1173
0.7	4.445758672199702	1173
0.75	4.1203724917317	1173
0.8	3.6906449397914116	1173
0.85	3.133869725485198	1173
0.9	2.41079321762426	1173
0.95	1.4365774209125703	1173
1.0	0.0	1173
x	y	temp
0.0	0.0	1223
0.05	1.5483315256608137	1223
0.1	2.4029749672281753	1223
0.15	3.0559397573520783	1223
0.2	3.5746900099467354	1223
0.25	3.990503734211231	1223
0.3	4.320607271934406	1223
0.35	4.575131228927077	1223
0.4	4.75999868017135	1223
0.45	4.8783091489076185	1223
0.5	4.931040402226557	1223
0.55	4.917379831168148	1223
0.6	4.834804930314448	1223
0.65	4.6789377156377725	1223
0.7	4.443126354424365	1223
0.75	4.117608619102313	1223
0.8	3.6878945630876814	1223
0.85	3.131383119741116	1223
0.9	2.408954277790258	1223
0.95	1.4359133139186184	1223
1.0	0.0	1223
