alpha	beta	x	y
-26493.72756301057	-47261.8549545087	9.99999999999999e-16	-26493.72756301059
-45565.528538047525	-24748.245496824256	0.9999999999999991	-24748.245496824275
-45565.528538047525	-24748.245496824256	0.9999999999999991	-24748.245496824275
-45258.204105920646	-24756.611874283113	0.9994997498749365	-24766.867798360992
-44953.63123494026	-24761.437430569815	0.998999499749874	-24781.63972552168
-44654.08599445922	-24765.11439628705	0.9984992496248114	-24794.96277787512
-44359.95543601869	-24768.144192403488	0.9979989994997489	-24807.347416502787
-44071.36058604519	-24770.760435239677	0.9974987493746864	-24819.036073435807
-43788.325038645955	-24773.097315464744	0.9969984992496238	-24830.171535744445
-43510.82571672459	-24775.240799589556	0.9964982491245613	-24840.84815047499
-43238.81421883809	-24777.249772948562	0.9959979989994988	-24851.13297233183
-42972.22729911603	-24779.16640781527	0.9954977488744362	-24861.076136690583
-42710.992235908736	-24781.02185809113	0.9949974987493737	-24870.716557329855
-42455.0304895501	-24782.839647673	0.9944972486243112	-24880.085320139577
-42204.259602139835	-24784.637816235823	0.9939969984992487	-24889.207831959124
-41958.59465177065	-24786.43034254272	0.9934967483741861	-24898.10524800545
-41717.94939124667	-24788.228124936395	0.9929964982491236	-24906.795457466847
-41482.236617795264	-24790.039682000865	0.9924962481240611	-24915.293786071372
-41251.36886779692	-24791.871661916943	0.9919959979989985	-24923.613510488285
-41025.25885327587	-24793.72922327799	0.991495747873936	-24931.76624364317
-40803.819424388654	-24795.616328254564	0.9909954977488735	-24939.762229070195
-40586.96409249466	-24797.535965149174	0.9904952476238109	-24947.61056966123
-40374.60696852255	-24799.49032717773	0.9899949974987484	-24955.31940813167
-40166.663041935804	-24801.48095180252	0.9894947473736859	-24962.89607130869
-39963.048173178824	-24803.508834982	0.9889944972486233	-24970.347186878127
-39763.67918103759	-24805.574523170857	0.9884942471235608	-24977.678778864185
-39568.47386991503	-24807.678189228114	0.9879939969984983	-24984.896346474994
-39377.351230529115	-24809.819692948262	0.9874937468734357	-24992.004929786457
-39190.23124511592	-24811.9986357145	0.9869934967483732	-24999.009164901323
-39007.03507816321	-24814.214402018562	0.9864932466233107	-25005.913330610823
-38827.68505230639	-24816.466196558587	0.9859929964982481	-25012.721388134858
-38652.10453485683	-24818.753077071633	0.9854927463731856	-25019.437015178584
-38480.21823658205	-24821.073976556618	0.9849924962481231	-25026.063635286377
-38311.951872685146	-24823.427730721374	0.9844922461230605	-25032.604443278105
-38147.23240481031	-24825.813093756526	0.983991995997998	-25039.062427400222
-37985.98799529404	-24828.228755431162	0.9834917458729355	-25045.44038870555
-37828.14792411691	-24830.67335663411	0.9829914957478729	-25051.740958082053
-37673.642565245755	-24833.14550211739	0.9824912456228104	-25057.96661127673
-37522.40361739038	-24835.643766935314	0.9819909954977479	-25064.11968220115
-37374.3637330333	-24838.166712037902	0.9814907453726854	-25070.20237475769
-37229.45688205776	-24840.71288550793	0.9809904952476228	-25076.21677338633
-37087.61805980986	-24843.280834600086	0.9804902451225603	-25082.16485250064
-36948.78336428086	-24845.869110186075	0.9799899949974978	-25088.048484955365
-36812.890061045655	-24848.476270368246	0.9794897448724352	-25093.869449666796
-36679.876473476375	-24851.100886895318	0.9789894947473727	-25099.62943848933
-36549.68200458241	-24853.74154837111	0.9784892446223102	-25105.330062436697
-36422.247150720636	-24856.3968629972	0.9779889944972476	-25110.97285732429
-36297.513457508976	-24859.06546208788	0.9774887443721851	-25116.559288898272
-36175.42348613141	-24861.74600301971	0.9769884942471226	-25122.090757508533
-36055.92088577766	-24864.43716932194	0.97648824412206	-25127.568602375188
-35938.95032240668	-24867.13767370709	0.9759879939969975	-25132.994105491784
-35824.45739738597	-24869.846261250823	0.975487743871935	-25138.36849520312
-35712.38867498604	-24872.561709739843	0.9749874937468724	-25143.692949490884
-35602.69193883866	-24875.28282367194	0.9744872436218099	-25148.968598996362
-35495.31570299701	-24878.008447111595	0.9739869934967474	-25154.196529805973
-35390.20942989555	-24880.737458619944	0.9734867433716851	-25159.377786022458
-35287.32366827941	-24883.468767519094	0.9729864932466223	-25164.513372141944
-35186.60979290801	-24886.20132080486	0.9724862431215598	-25169.60425525493
-35088.02013819636	-24888.93409936594	0.9719859929964975	-25174.65136708706
-34991.50790502428	-24891.666120286303	0.9714857428714347	-25179.65560589415
-34897.027179261975	-24894.39643596752	0.9709854927463722	-25184.617838224196
-34804.532987666345	-24897.124131929195	0.9704852426213098	-25189.538900557764
-34713.981068655026	-24899.848333137834	0.9699849924962471	-25194.41960083721
-34625.3281741331	-24902.568194244457	0.9694847423711846	-25199.260719893893
-34538.53178816398	-24905.282907426204	0.9689844922461222	-25204.06301278176
