alpha	beta	x	y
-99890.98162858744	-147693.97753998765	9.99999999999999e-16	-99890.98162858748
-150453.03699987032	-96519.84436506526	0.9999999999999991	-96519.8443650653
-150453.03699987032	-96519.84436506526	0.9999999999999991	-96519.8443650653
-150186.9626253895	-96547.7227170104	0.9994997498749365	-96574.55575348288
-149913.47767799319	-96566.1813782677	0.998999499749874	-96619.55536155912
-149638.6157168405	-96581.26598354806	0.9984992496248114	-96660.8918210668
-149363.64745161566	-96594.25926207266	0.9979989994997489	-96699.85083423788
-149089.16859098928	-96605.76888631494	0.9974987493746864	-96737.04302264484
-148815.5239487571	-96616.15157827541	0.9969984992496238	-96772.82803361458
-148542.93641261625	-96625.64207842971	0.9964982491245613	-96807.44350931485
-148271.560208189	-96634.40640993204	0.9959979989994988	-96841.0583510957
-148001.5070249574	-96642.56800482699	0.9954977488744362	-96873.79884583813
-147732.86036687795	-96650.2220547019	0.9949974987493737	-96905.76301674385
-147465.684099659	-96657.44405823183	0.9944972486243112	-96937.02917101613
-147200.0278626678	-96664.29523329	0.9939969984992487	-96967.66131210572
-146935.93066391023	-96670.82611205375	0.9934967483741861	-96997.71273495232
-146673.4233621171	-96677.07902327001	0.9929964982491236	-97027.22850838455
-146412.5304358961	-96683.08986167029	0.9924962481240611	-97056.24724466853
-146153.27127913915	-96688.88938345178	0.9919959979989985	-97084.80239512316
-145895.6611711246	-96694.50417663225	0.991495747873936	-97112.92322060747
-145639.71201762842	-96699.9574022981	0.9909954977488735	-97140.63553290142
-145385.43292670854	-96705.26937062001	0.9904952476238109	-97167.96227085301
-145132.83066299223	-96710.45799525776	0.9899949974987484	-97194.92395491498
-144881.9100107335	-96715.53915664672	0.9894947473736859	-97221.53905056162
-144632.6740675874	-96720.52699591598	0.9889944972486233	-97247.82426233763
-144385.12448474334	-96725.43415524256	0.9884942471235608	-97273.79477434141
-144139.26166527788	-96730.27197630871	0.9879939969984983	-97299.46444881264
-143895.08492920402	-96735.05066561126	0.9874937468734357	-97324.8459915692
-143652.59265213605	-96739.77943326149	0.9869934967483732	-97349.95109093573
-143411.78238252772	-96744.46661038327	0.9864932466233107	-97374.79053526971
-143172.65094142416	-96749.11974908004	0.9859929964982481	-97399.3743130549
-142935.19450795883	-96753.74570808552	0.9854927463731856	-97423.71169867904
-142699.40869299014	-96758.35072657137	0.9849924962481231	-97447.81132636759
-142465.28860283107	-96762.94048808831	0.9844922461230605	-97471.68125424995
-142232.82889479786	-96767.52017623204	0.983991995997998	-97495.3290201511
-142002.02382568817	-96772.09452333095	0.9834917458729355	-97518.76169040342
-141772.86729436228	-96776.66785321273	0.9829914957478729	-97541.98590273707
-141545.35287933098	-96781.24411892069	0.9824912456228104	-97565.00790412052
-141319.4738719199	-96785.82693610448	0.9819909954977479	-97587.83358427328
-141095.2233057994	-96790.41961268347	0.9814907453726854	-97610.46850545255
-140872.59398320806	-96795.02517529021	0.9809904952476228	-97632.91792901755
-140651.5784985261	-96799.64639291332	0.9804902451225603	-97655.18683919594
-140432.16925918282	-96804.28579810644	0.9799899949974978	-97677.27996441117
-140214.35850463144	-96808.94570605998	0.9794897448724352	-97699.20179647594
-139998.1383233867	-96813.62823180093	0.9789894947473727	-97720.95660791233
-139783.50066834595	-96818.33530574435	0.9784892446223102	-97742.54846762125
-139570.43737077605	-96823.06868778438	0.9779889944972476	-97763.9812550939
-139358.9401529193	-96827.82998009522	0.9774887443721851	-97785.25867333042
-139149.0006394452	-96832.62063878376	0.9769884942471226	-97806.38426060992
-138940.610367963	-96837.4419845171	0.97648824412206	-97827.36140123649
-138733.76079852076	-96842.29521223804	0.9759879939969975	-97848.19333537042
-138528.4433223657	-96847.18140005911	0.975487743871935	-97868.88316803965
-138324.64926993137	-96852.10151742275	0.9749874937468724	-97889.4338774155
-138122.369918146	-96857.05643259962	0.9744872436218099	-97909.84832242601
-137921.59649719065	-96862.04691958932	0.9739869934967474	-97930.12924977209
-137722.32019665968	-96867.07366448286	0.9734867433716851	-97950.27930040353
-137524.5321713183	-96872.13727133468	0.9729864932466223	-97970.30101550637
-137328.2235463371	-96877.23826759383	0.9724862431215598	-97990.19684204653
-137133.38542214961	-96882.37710913118	0.9719859929964975	-98009.96913791011
-136940.0088789614	-96887.55418489978	0.9714857428714347	-98029.62017667647
-136748.08498089373	-96892.76982126152	0.9709854927463722	-98049.1521520563
-136557.60477985785	-96898.0242860068	0.9704852426213098	-98068.56718202344
-136368.55931911833	-96903.31779209558	0.9699849924962471	-98087.86731266658
-136180.93963664377	-96908.65050114093	0.9694847423711846	-98107.05452178413
-135994.7367681114	-96914.02252666044	0.9689844922461222	-98126.13072224325
-135809.94174988795	-96919.43393710544	0.9684842421210595	-98145.09776512213
-135626.54562162852	-96924.88475869695	0.967983991995997	-98163.95744265277
